"ID"|"n_species"|"n_ecosystems"|"autoconsumption"|"n_preparations"|"n_Agr_pract"|"region"|"headsex"|"elcsa_cat"|"edu"|"assistance"|"nonaginc"|"hhsize"|"headage"|"numchildren"|"age"|"num_emp"|"area"|"ch"|"ced"|"l_fields"|"m_fields"|"cd_field"|"cd_garden"|"cd_tree"|"cd_gardentree"|"clust"
"1240"|2|1|2|2|1|"Huánuco-Quisqui"|FALSE|"1"|"2"|FALSE|FALSE|7|37|2|35|1|10|1515|0|1|1|5|0|0|0|"2"
"1241"|3|1|3|1|1|"Huánuco-Quisqui"|TRUE|"1"|"3"|FALSE|FALSE|3|35|0|35|2|31.471001|3450|434|4|3|3|4|1|5|"3"
"1242"|9|2|9|5|1|"Huánuco-Quisqui"|FALSE|"0"|"1"|FALSE|TRUE|5|56|0|49|2|4.2941999|21487.5|7630.6499|4|4|1|0|4|4|"2"
"1243"|5|2|5|2|1|"Huánuco-Quisqui"|FALSE|"1"|"1"|FALSE|FALSE|4|54|0|47|1|5|16956|3371.2502|3|3|6|7|3|10|"2"
"1245"|3|1|3|2|1|"Huánuco-Quisqui"|FALSE|"1"|"2"|TRUE|FALSE|5|43|1|41|2|1.5|3025|0.62|2|1|4|0|0|0|"2"
"1247"|3|2|3|2|1|"Huánuco-Quisqui"|FALSE|"2"|"3"|FALSE|TRUE|5|35|1|30|2|0.88260001|1050|93|2|2|1|0|2|2|"1"
"1248"|9|2|9|3|1|"Huánuco-Quisqui"|FALSE|"1"|"1"|FALSE|TRUE|10|43|2|42|2|3.5883999|3085|410.75|3|2|5|3|1|4|"2"
"1250"|2|2|2|1|1|"Huánuco-Quisqui"|TRUE|"1"|"1"|FALSE|FALSE|4|59|2|24|1|9.2941999|999|0|4|2|2|16|2|18|"2"
"1256"|4|4|4|3|1|"Huánuco-Quisqui"|FALSE|"1"|"1"|FALSE|FALSE|5|43|1|43|1|2.5|16550|2356|2|2|4|6|1|7|"2"
"1258"|11|2|11|1|3|"Huánuco-Quisqui"|TRUE|"2"|"2"|FALSE|FALSE|5|39|1|39|1|0.58840001|2250|1209|1|1|1|0|0|0|"3"
"1259"|6|2|6|2|2|"Huánuco-Quisqui"|FALSE|"2"|"0"|FALSE|FALSE|9|49|2|47|1|10|3983|383.935|3|1|10|6|0|6|"2"
"1260"|2|1|2|4|1|"Huánuco-Quisqui"|FALSE|"1"|"0"|TRUE|FALSE|5|71|0|39|1|5|0|0|1|1|0|3|0|3|"2"
"1261"|8|3|8|3|1|"Huánuco-Quisqui"|FALSE|"1"|"3"|FALSE|FALSE|6|48|0|48|2|0.58840001|825|609.15002|1|1|3|2|0|2|"2"
"1262"|8|3|8|3|1|"Huánuco-Quisqui"|FALSE|"0"|"1"|FALSE|FALSE|6|47|0|43|1|7|5215.5|1727.9399|2|2|5|6|0|6|"2"
"1263"|5|2|5|3|1|"Huánuco-Quisqui"|FALSE|"1"|"1"|FALSE|FALSE|6|41|2|44|1|2|5800|1178|1|1|3|6|0|8|"2"
"1265"|4|2|4|1|1|"Huánuco-Quisqui"|FALSE|"1"|"3"|FALSE|FALSE|5|43|0|37|1|5|750|0|2|2|1|0|2|2|"2"
"1266"|1|3|1|1|1|"Huánuco-Quisqui"|FALSE|"1"|"2"|FALSE|FALSE|3|50|0|49|1|1.471|2300|46.5|5|5|3|3|0|3|"2"
"1268"|4|2|4|1|1|"Huánuco-Quisqui"|FALSE|"1"|"1"|TRUE|TRUE|4|27|1|24|3|1|3750|581.25|2|1|1|7|0|7|"1"
"1273"|7|2|7|2|1|"Huánuco-Quisqui"|FALSE|"1"|"0"|FALSE|FALSE|4|30|1|37|1|0.58840001|7500|1488|1|1|1|11|1|12|"2"
"1274"|7|2|7|2|1|"Huánuco-Quisqui"|FALSE|"1"|"3"|FALSE|FALSE|4|32|2|22|1|1|3200|759.5|1|1|2|9|0|9|"2"
"1275"|7|2|7|4|1|"Huánuco-Quisqui"|FALSE|"2"|"1"|FALSE|FALSE|2|39|0|49|2|5|7585|453.065|2|2|7|5|0|5|"2"
"1283"|1|1|1|2|1|"Amarilis"|FALSE|"1"|"4"|FALSE|TRUE|5|47|2|47|2|0.2942|0|0|1|1|1|3|1|4|"1"
"1285"|1|2|1|2|3|"Amarilis"|FALSE|"1"|"4"|FALSE|TRUE|8|45|1|42|2|4|2500|0|1|1|3|10|9|23|"1"
