region,n_species,n_ecosystems,Sell,autoconsumption,O_uses,n_preparations,n_Agr_pract,headsex,elcsa_cat,edu,assistance,nonaginc,hhsize,headage,numchildren,age,num_emp,area,ch,ced,l_fields,m_fields,cd_field,cd_garden,cd_tree,cd_gardentree
1430,Amarilis,4,2,0,4,0,2,1,1,2,1,1,1,5,42,0,42,2,7.5883999,5115,325.5,4,4,6,9,1,12
1432,Amarilis,2,2,0,2,0,2,1,0,1,3,0,1,5,52,0,28,3,0.625,900,0,3,3,2,0,0,0
1435,Amarilis,1,1,0,1,0,1,1,0,0,4,0,0,5,36,1,29,1,1.925,10850,2071.575,4,4,3,4,0,4
1439,Amarilis,3,1,0,3,0,2,1,0,1,0,0,0,7,60,0,35,2,0.58840001,1100,69.75,1,1,4,4,0,4
1440,Amarilis,6,2,0,6,0,3,1,0,1,4,0,1,6,39,1,39,4,1,1850,0,1,1,4,5,0,5
1444,Amarilis,1,1,0,1,0,1,1,0,1,4,0,1,6,56,0,26,3,0.2942,660,124,1,1,3,6,0,6
1445,Amarilis,6,3,0,6,0,3,1,1,2,1,0,1,4,41,0,41,3,2,5650,1168.7,1,1,3,7,0,7
1449,Amarilis,2,2,0,2,0,1,2,0,2,3,0,1,4,33,1,28,2,0.2942,500,0,1,1,2,2,0,2
1451,Amarilis,1,1,0,1,0,1,1,0,1,1,0,0,7,35,1,38,2,0.2942,0,0,1,1,1,2,4,6
1454,Amarilis,2,2,0,2,0,1,1,0,0,4,0,1,5,29,1,36,2,1,1750,899,4,3,2,8,3,13
1456,Amarilis,2,1,0,2,0,3,1,1,2,1,0,1,3,30,0,30,3,1,1900,77.5,1,1,4,0,2,2
1470,Amarilis,1,1,0,1,0,1,1,1,1,4,1,0,6,55,1,22,4,0.58840001,5400,434,1,1,3,3,0,3
1471,Amarilis,4,3,0,4,0,2,1,0,1,4,0,0,5,50,1,23,2,0.73549998,8800,868,2,2,3,0,0,0
1482,Amarilis,2,2,0,2,0,1,1,0,1,1,0,0,6,48,2,41,2,1.2941999,250,0,2,2,2,7,3,11
1486,Amarilis,2,1,0,2,0,1,1,0,2,2,0,1,5,47,0,41,2,1.3239,5350,1302,3,3,4,6,10,16
1490,Amarilis,1,1,0,1,0,1,1,0,1,2,0,0,3,42,0,39,1,0.88260001,6660,589,1,1,3,0,1,1
1497,Amarilis,1,1,0,1,0,1,1,0,1,2,1,1,6,46,0,44,2,0.25,0,0,1,1,0,7,0,7
1498,Amarilis,2,1,0,2,0,1,1,0,1,1,0,1,7,41,0,39,2,14.8,24164,6572,2,2,6,5,2,7
1500,Amarilis,1,1,0,1,0,1,1,1,1,2,0,0,1,45,0,45,1,0.2942,50,0,1,1,1,0,1,1
1510,Amarilis,1,1,0,1,0,2,1,0,1,4,0,0,7,57,1,22,1,6,2500,0,1,1,3,3,1,4
1523,Amarilis,1,1,0,1,0,1,1,0,1,3,0,0,4,50,0,43,1,1.2941999,3081.8,325.5,2,1,4,0,2,2
1528,Amarilis,2,1,0,2,0,1,1,0,0,4,0,0,7,60,1,23,1,4,0,0,2,2,0,0,0,0
1531,Amarilis,2,1,0,2,0,2,1,0,2,1,0,0,3,40,0,38,2,1.1768,5400,34.875,2,2,3,0,0,0
1533,Amarilis,2,2,0,2,0,2,1,0,3,3,0,0,5,31,0,28,2,0.5,625,49.599998,1,1,2,0,1,1
1534,Amarilis,2,1,0,2,0,1,2,0,2,1,0,1,3,30,0,27,2,0.1471,112.5,0,1,1,1,0,0,0
1539,Amarilis,1,1,0,1,0,1,1,0,0,0,1,1,7,66,2,39,3,2.2941999,3400,682,2,2,3,13,1,18
1541,Amarilis,1,2,0,1,0,1,1,0,1,0,0,1,3,45,0,40,2,3.0891001,800,173.60001,6,6,2,1,1,2
1543,Amarilis,1,1,0,1,0,2,1,0,2,1,0,0,7,38,1,34,1,0.58840001,2360,697.5,1,1,3,0,0,0
1544,Amarilis,2,1,0,2,0,1,1,0,1,1,0,1,5,42,2,37,2,0.1471,350,0,1,1,1,0,0,0
1546,Amarilis,1,1,0,1,0,2,1,0,1,1,0,1,5,52,1,29,2,1.1768,1650,196.85001,3,2,3,0,1,1
1549,Amarilis,1,1,0,1,0,1,1,0,0,0,0,0,2,42,0,42,2,2.0594001,2900,1007.5,4,4,2,4,1,5
1551,Amarilis,1,1,0,1,0,1,1,1,1,0,0,1,5,43,1,43,2,0.96340001,2975,301.63,3,3,4,4,1,5
1552,Amarilis,5,3,0,5,0,1,2,0,2,4,0,0,3,27,0,23,1,4,10500,2673.75,1,1,1,3,0,3
1554,Amarilis,8,5,0,8,0,1,1,1,1,1,1,0,1,40,0,40,1,0.125,300,0,1,1,3,0,1,1
1555,Amarilis,1,1,0,1,0,1,1,0,2,1,0,0,14,59,1,29,1,0.875,2700,0,2,2,3,3,1,4
1556,Amarilis,5,7,1,5,0,3,1,0,2,1,1,0,7,38,2,34,1,0.58840001,850,0,1,1,2,0,0,0
1558,Amarilis,2,2,0,2,0,4,1,0,1,0,0,0,6,45,2,37,1,0.73549998,814,0,2,1,3,0,0,0
1559,Amarilis,1,1,0,1,0,1,1,0,2,1,0,0,5,46,0,44,2,0.58840001,1400,297.60001,2,2,1,0,1,1
1560,Amarilis,7,3,0,6,0,1,1,1,1,2,0,1,9,61,1,27,1,0.5,1004,0,1,1,4,4,1,5
1562,Amarilis,4,2,0,4,0,1,1,0,2,3,0,0,4,25,2,21,1,1,1700,116.25,2,2,4,0,0,0
1563,Amarilis,4,4,0,4,0,2,1,0,1,0,0,1,6,34,1,34,2,0.125,550,0,1,1,3,0,0,0
1564,Amarilis,7,2,1,6,0,3,1,0,0,1,0,0,7,30,2,30,1,0.58840001,8350,383.625,2,2,2,2,0,2
1565,Amarilis,4,3,0,4,0,2,4,0,1,2,0,1,5,47,1,38,3,1,2320,1271,1,1,4,0,0,0
1566,Amarilis,1,1,0,1,0,1,1,0,3,0,0,0,5,45,0,45,1,26,28500,2602.45,1,1,3,1,0,1
1567,Amarilis,1,1,0,1,0,1,1,0,3,1,0,0,4,68,0,32,2,0.2942,1500,49.599998,1,1,1,2,0,2
1570,Amarilis,3,1,0,3,0,2,1,0,1,1,1,1,6,39,2,35,2,1.471,1850,465,3,2,3,4,0,4
1571,Amarilis,3,3,0,3,0,3,1,0,2,0,0,0,6,51,1,41,2,0.88260001,3750,1046.25,1,1,1,0,0,0
1576,Amarilis,2,1,0,2,0,1,1,0,1,1,0,1,2,48,0,39,2,7.4710002,6375,785.84998,4,4,1,7,0,7
1577,Amarilis,4,1,0,4,0,3,1,0,1,1,1,1,9,56,1,30,3,1.7652,3900,767.25,2,2,2,3,0,3
1595,Molino-Umari,10,4,0,10,0,3,4,0,1,1,0,0,7,42,1,37,1,20,13875,4882.5,2,2,1,0,0,0
1600,Molino-Umari,3,1,0,3,0,1,3,0,1,1,1,0,4,37,0,35,1,1.5884,16500,1457,2,2,2,9,4,13
1601,Molino-Umari,6,2,0,6,0,1,1,0,2,4,0,1,7,53,1,26,2,0.375,3375,372,1,1,1,12,0,12
1603,Molino-Umari,7,2,2,5,0,1,1,1,1,1,0,1,5,26,1,26,2,6,31125,7130,2,2,6,2,1,3
1606,Molino-Umari,1,2,0,1,0,1,1,0,2,0,0,0,3,72,0,38,1,0.2942,1000,1240,1,1,1,0,1,1
1612,Molino-Umari,7,1,0,7,0,3,1,1,1,4,0,1,7,57,2,25,3,1,670,0,1,1,3,11,1,14
1614,Molino-Umari,5,2,0,5,0,3,1,0,1,1,0,0,5,36,1,32,1,1.0297,17250,930,2,2,1,7,3,10
1615,Molino-Umari,1,1,0,1,0,1,1,1,1,2,0,1,4,20,1,20,2,0.58840001,1480,0,2,2,4,0,0,0
1619,Molino-Umari,2,1,0,2,0,1,1,0,1,1,0,0,6,33,1,33,2,1,3420,174.375,1,1,5,9,0,11
1620,Molino-Umari,2,3,0,2,0,1,1,0,1,1,0,1,3,23,1,21,2,1.955,19850,2325,2,2,4,10,5,15
1621,Molino-Umari,2,2,0,2,0,1,1,0,1,0,0,0,5,40,2,39,1,0.71340001,950,74.400002,2,2,3,7,5,12
1622,Molino-Umari,3,2,0,3,0,1,4,0,1,1,1,0,7,54,0,48,2,1.0076001,2627,0,2,2,4,7,4,11
1626,Molino-Umari,1,3,0,1,0,1,1,0,1,1,0,0,6,40,1,37,1,1.5884,1700,589,2,2,4,7,4,11
1627,Molino-Umari,1,2,0,1,0,1,1,1,1,1,0,0,2,39,1,39,1,0.2942,330,0,2,2,3,6,4,10
1629,Molino-Umari,3,3,0,3,0,3,1,0,1,1,0,0,5,26,1,29,1,3.5,2360,0,3,3,4,4,3,7
1630,Molino-Umari,2,3,0,2,0,1,2,0,1,1,0,0,6,32,0,31,1,1.25,1775,134.85001,2,1,4,11,7,19
1633,Molino-Umari,3,2,0,3,0,2,1,0,0,1,0,0,5,40,1,34,1,0.73549998,3193,116.25,2,2,3,6,1,7
1635,Molino-Umari,6,2,0,6,0,3,1,0,0,1,0,0,5,43,0,29,1,0.58840001,1520,0,1,1,3,6,4,10
1636,Molino-Umari,2,2,0,2,0,2,1,0,2,1,0,1,6,49,1,39,1,0.88260001,300,124,2,2,1,0,2,2
1647,Molino-Umari,2,2,0,2,0,2,1,1,2,3,1,1,3,23,0,23,1,0.25,0,0,1,1,0,8,5,13
1648,Molino-Umari,2,2,0,2,0,1,1,0,1,1,0,0,4,31,1,30,1,1.9123,46500,6184.5,4,4,2,7,1,8
1650,Molino-Umari,2,2,0,2,0,2,6,0,1,0,0,0,4,27,1,22,1,0.88260001,6180,744,2,2,2,3,0,3
1651,Molino-Umari,6,2,0,6,0,3,1,0,1,2,0,0,6,35,1,30,1,10,5594.7998,658.75,1,1,3,0,0,0
1652,Molino-Umari,8,2,0,8,0,3,1,1,1,0,0,0,6,34,2,34,1,0.2942,218.39999,56.543999,1,1,2,0,1,1
1657,Molino-Umari,2,1,0,2,0,2,1,0,1,1,0,0,5,41,1,42,1,1.1768,5250,348.75,1,1,1,3,5,8
