region,n_species,n_ecosystems,Sell,autoconsumption,O_uses,n_preparations,n_Agr_pract,headsex,elcsa_cat,edu,assistance,nonaginc,hhsize,age,wealthindex,num_emp,inc,area,l_fields,m_fields,cd_field,cd_garden,cd_tree,cd_gardentree
1274,Huánuco-Quisqui,7,2,0,7,0,2,1,0,1,3,0,0,4,22,-0.98190886,1,1000,1,1,1,2,9,0,9
1275,Huánuco-Quisqui,7,2,0,7,0,4,1,0,2,1,0,0,2,49,0.018659491,2,3000,5,2,2,7,5,0,5
1283,Amarilis,1,1,0,1,0,2,1,0,1,4,0,1,5,47,0.59405237,2,2000,0.2942,1,1,1,3,1,4
1285,Amarilis,1,2,0,1,0,2,3,0,1,4,0,1,8,42,-0.022711931,2,5000,4,1,1,3,10,9,23
1295,Amarilis,3,5,0,3,0,3,1,0,2,2,0,1,8,41,-0.16789207,2,5800,4,2,2,2,3,2,5
1296,Amarilis,1,1,0,1,0,1,1,0,1,3,0,1,4,29,0.30412307,2,8150,2,2,2,2,0,2,2
1297,Amarilis,4,1,0,4,0,1,1,0,1,2,0,0,3,38,-0.0072693154,2,5280,1,1,1,3,12,0,12
1298,Amarilis,5,1,0,5,0,3,1,0,1,1,0,0,5,39,0.13854322,1,1000,5.5,2,2,3,0,2,2
1302,Amarilis,1,1,0,1,0,1,1,0,1,2,0,0,4,40,-0.77441043,1,2000,2,1,1,1,0,0,0
1303,Amarilis,1,1,0,1,0,1,1,0,3,1,0,1,7,41,0.67557788,3,286,6,2,2,4,5,2,7
1306,Amarilis,1,2,0,1,0,1,5,0,1,1,0,1,5,36,-0.41902572,2,13000,2.3536,2,2,3,0,0,0
1307,Amarilis,4,2,0,4,0,3,1,0,1,2,0,0,5,42,-0.41772148,1,5000,1.7652,1,1,2,9,3,14
1313,Amarilis,1,1,0,1,0,2,1,0,1,3,0,1,6,40,1.7657626,2,9000,4,2,2,3,5,5,10
1326,Amarilis,7,1,0,7,0,3,1,1,1,2,0,1,5,37,3.3084357,1,3000,0.029999999,1,1,0,1,4,6
1332,Amarilis,1,1,0,1,0,1,1,0,0,4,0,1,7,30,-0.55752861,3,6900,0.5,2,2,2,0,8,8
1333,Amarilis,2,2,0,2,0,1,1,0,1,4,1,1,5,32,3.1400733,3,19000,0.58840001,1,1,2,0,0,0
1334,Amarilis,2,2,0,2,0,2,1,0,2,0,0,0,6,47,1.0162073,2,4000,0.2942,1,1,2,4,0,4
1335,Amarilis,3,2,0,3,0,3,1,0,1,0,0,1,6,44,1.7038776,2,32000,0.1471,1,1,0,9,0,11
1339,Amarilis,1,1,0,1,0,1,1,0,2,1,0,0,8,38,-0.41902572,1,3600,0.2942,1,1,1,0,5,5
1345,Amarilis,1,1,0,1,0,1,1,0,1,4,0,1,7,24,0.86502165,2,2500,0.0099999998,1,1,1,9,3,14
1366,Amarilis,2,1,0,2,0,1,1,0,2,1,0,0,6,32,-0.33619621,1,400,0.58840001,2,2,1,0,0,0
1367,Amarilis,1,1,0,1,0,2,1,0,1,3,0,1,10,19,1.4508131,2,1500,0.5,1,1,1,6,10,16
1368,Amarilis,2,1,0,2,0,4,1,1,1,0,0,1,6,39,-0.84666818,2,1700,4,1,1,0,3,5,8
1369,Amarilis,1,1,0,1,0,1,1,0,0,2,0,0,3,25,0.14183149,2,690,1,1,1,3,7,3,10
1370,Amarilis,2,2,0,2,0,3,1,0,1,4,0,0,3,19,0.63506645,1,1000,0.88260001,1,1,2,0,2,2
1374,Amarilis,1,1,0,1,0,1,1,0,1,0,0,1,3,42,-0.0072693154,2,10560,0.58840001,2,2,5,3,4,7
1378,Amarilis,3,2,0,3,0,3,8,0,2,1,0,0,5,28,-0.77441043,1,3000,1.5,1,1,0,3,1,4
1380,Amarilis,3,1,0,3,0,3,2,0,1,2,1,1,4,26,-0.082364783,3,2032,0.3125,2,1,2,6,0,6
1393,Amarilis,3,1,0,3,0,3,1,0,3,1,0,0,6,26,-0.52129841,1,4800,1,1,1,2,0,1,1
1394,Amarilis,2,2,0,2,0,3,3,0,1,1,0,1,5,41,-0.5998801,2,600,1.5884,2,1,3,0,0,0
1401,Amarilis,1,1,0,1,0,1,1,0,1,4,0,1,4,20,-0.4539102,2,1215,1.0076001,3,3,6,8,1,10
1405,Amarilis,3,3,0,3,0,3,1,0,1,1,0,1,4,38,0.099793807,2,10000,2.5,2,2,3,5,0,5
1408,Amarilis,2,3,0,2,0,1,2,0,1,2,0,1,3,35,0.4680765,2,120,0.2942,2,2,5,4,2,8
1413,Amarilis,2,3,0,2,0,1,1,1,3,3,0,0,5,18,-0.52129841,1,500,0.4413,3,3,1,3,3,6
1416,Amarilis,3,3,0,3,0,3,1,0,1,0,0,0,4,36,0.24924891,1,4000,0.875,3,3,8,5,0,5
1419,Amarilis,1,1,0,1,0,1,1,0,1,0,0,1,5,36,-0.5998801,2,3100,1.471,2,1,3,1,0,1
1420,Amarilis,2,2,0,2,0,2,1,0,2,4,0,1,6,22,0.39933792,2,870,0.2942,1,1,2,5,4,9
1422,Amarilis,1,2,0,1,0,1,1,0,3,2,0,0,3,40,-0.77441043,2,250,0.2942,1,1,1,0,4,4
1428,Amarilis,6,3,1,6,0,4,1,0,1,1,0,1,6,49,0.023208208,2,9120,2.2652001,5,5,4,5,3,8
1429,Amarilis,1,1,1,1,0,4,1,0,0,4,0,1,3,22,-0.76055038,3,9300,0.58840001,1,1,3,0,0,0
1430,Amarilis,4,2,0,4,0,2,1,1,2,1,1,1,5,42,-0.5143351,2,2500,7.5883999,4,4,6,9,1,12
1432,Amarilis,2,2,0,2,0,2,1,0,1,3,0,1,5,28,-0.77441043,3,3700,0.625,3,3,2,0,0,0
1435,Amarilis,1,1,0,1,0,1,1,0,0,4,0,0,5,29,0.71062201,1,2000,1.925,4,4,3,4,0,4
1439,Amarilis,3,1,0,3,0,2,1,0,1,0,0,0,7,35,0.13926259,2,800,0.58840001,1,1,4,4,0,4
1440,Amarilis,6,2,0,6,0,3,1,0,1,4,0,1,6,39,1.4771163,4,1500,1,1,1,4,5,0,5
1444,Amarilis,1,1,0,1,0,1,1,0,1,4,0,1,6,26,-0.5998801,3,2570,0.2942,1,1,3,6,0,6
1445,Amarilis,6,3,0,6,0,3,1,1,2,1,0,1,4,41,0.37344581,3,6650,2,1,1,3,7,0,7
1449,Amarilis,2,2,0,2,0,1,2,0,2,3,0,1,4,28,0.055713695,2,620,0.2942,1,1,2,2,0,2
1451,Amarilis,1,1,0,1,0,1,1,0,1,1,0,0,7,38,-0.23215887,2,1500,0.2942,1,1,1,2,4,6
1454,Amarilis,2,2,0,2,0,1,1,0,0,4,0,1,5,36,0.8614645,2,7000,1,4,3,2,8,3,13
1456,Amarilis,2,1,0,2,0,3,1,1,2,1,0,1,3,30,-0.77441043,3,2300,1,1,1,4,0,2,2
1470,Amarilis,1,1,0,1,0,1,1,1,1,4,1,0,6,22,1.4056575,4,500,0.58840001,1,1,3,3,0,3
1471,Amarilis,4,3,0,4,0,2,1,0,1,4,0,0,5,23,0.96102107,2,400,0.73549998,2,2,3,0,0,0
