hhid,region,town,n_species,n_ecosystems,Sell,autoconsumption,O_uses,n_preparations,n_Agr_pract
1413,Amarilis,NA,2,3,0,2,0,1,1
1416,Amarilis,NA,3,3,0,3,0,3,1
1419,Amarilis,NA,1,1,0,1,0,1,1
1420,Amarilis,NA,2,2,0,2,0,2,1
1422,Amarilis,NA,1,2,0,1,0,1,1
1428,Amarilis,NA,6,3,1,6,0,4,1
1429,Amarilis,NA,1,1,1,1,0,4,1
1430,Amarilis,NA,4,2,0,4,0,2,1
1432,Amarilis,NA,2,2,0,2,0,2,1
1435,Amarilis,NA,1,1,0,1,0,1,1
1439,Amarilis,NA,3,1,0,3,0,2,1
1440,Amarilis,NA,6,2,0,6,0,3,1
1444,Amarilis,NA,1,1,0,1,0,1,1
1445,Amarilis,NA,6,3,0,6,0,3,1
1449,Amarilis,NA,2,2,0,2,0,1,2
1451,Amarilis,NA,1,1,0,1,0,1,1
1454,Amarilis,NA,2,2,0,2,0,1,1
1456,Amarilis,NA,2,1,0,2,0,3,1
1470,Amarilis,NA,1,1,0,1,0,1,1
1471,Amarilis,NA,4,3,0,4,0,2,1
1472,Amarilis,NA,3,2,0,3,0,1,1
1482,Amarilis,NA,2,2,0,2,0,1,1
1486,Amarilis,NA,2,1,0,2,0,1,1
1490,Amarilis,NA,1,1,0,1,0,1,1
1497,Amarilis,NA,1,1,0,1,0,1,1
1498,Amarilis,NA,2,1,0,2,0,1,1
1500,Amarilis,NA,1,1,0,1,0,1,1
1510,Amarilis,NA,1,1,0,1,0,2,1
1523,Amarilis,NA,1,1,0,1,0,1,1
1528,Amarilis,NA,2,1,0,2,0,1,1
1531,Amarilis,NA,2,1,0,2,0,2,1
1533,Amarilis,NA,2,2,0,2,0,2,1
1534,Amarilis,NA,2,1,0,2,0,1,2
1539,Amarilis,NA,1,1,0,1,0,1,1
1541,Amarilis,NA,1,2,0,1,0,1,1
1543,Amarilis,NA,1,1,0,1,0,2,1
1544,Amarilis,NA,2,1,0,2,0,1,1
1546,Amarilis,NA,1,1,0,1,0,2,1
1549,Amarilis,NA,1,1,0,1,0,1,1
1551,Amarilis,NA,1,1,0,1,0,1,1
1552,Amarilis,NA,5,3,0,5,0,1,2
1554,Amarilis,NA,8,5,0,8,0,1,1
1555,Amarilis,NA,1,1,0,1,0,1,1
